0	0	90	0				
0	0	90	90				
0	0	0	45				
0	0	90	45				
0	0	-45	45				
0	0	45	-45				
0	0	0	67.5				
0	0	90	22.5				
0	0	-45	22.5				
0	0	-45	-67.5				
45	0	90	0				
45	0	90	90				
45	0	0	45				
45	0	90	45				
45	0	-45	45				
45	0	45	-45				
45	0	0	67.5				
45	0	90	22.5				
45	0	-45	22.5				
45	0	-45	-67.5				
22.5	45	90	0				
22.5	45	90	90				
22.5	45	0	45				
22.5	45	90	45				
22.5	45	-45	45				
22.5	45	45	-45				
22.5	45	0	67.5				
22.5	45	90	22.5				
22.5	45	-45	22.5				
22.5	45	-45	-67.5				
-22.5	-45	90	0				
-22.5	-45	90	90				
-22.5	-45	0	45				
-22.5	-45	90	45				
-22.5	-45	-45	45				
-22.5	-45	45	-45				
-22.5	-45	0	67.5				
-22.5	-45	90	22.5				
-22.5	-45	-45	22.5				
-22.5	-45	-45	-67.5				
22.5	90	90	0				
22.5	90	90	90				
22.5	90	0	45				
22.5	90	90	45				
22.5	90	-45	45				
22.5	90	45	-45				
22.5	90	0	67.5				
22.5	90	90	22.5				
22.5	90	-45	22.5				
22.5	90	-45	-67.5				
33.75	90	90	0				
33.75	90	90	90				
33.75	90	0	45				
33.75	90	90	45				
33.75	90	-45	45				
33.75	90	45	-45				
33.75	90	0	67.5				
33.75	90	90	22.5				
33.75	90	-45	22.5				
33.75	90	-45	-67.5				
11.25	45	90	0				
11.25	45	90	90				
11.25	45	0	45				
11.25	45	90	45				
11.25	45	-45	45				
11.25	45	45	-45				
11.25	45	0	67.5				
11.25	45	90	22.5				
11.25	45	-45	22.5				
11.25	45	-45	-67.5				
22.5	0	90	0				
22.5	0	90	90				
22.5	0	0	45				
22.5	0	90	45				
22.5	0	-45	45				
22.5	0	45	-45				
22.5	0	0	67.5				
22.5	0	90	22.5				
22.5	0	-45	22.5				
22.5	0	-45	-67.5				
11.25	0	90	0				
11.25	0	90	90				
11.25	0	0	45				
11.25	0	90	45				
11.25	0	-45	45				
11.25	0	45	-45				
11.25	0	0	67.5				
11.25	0	90	22.5				
11.25	0	-45	22.5				
11.25	0	-45	-67.5				
-33.75	45	90	0				
-33.75	45	90	90				
-33.75	45	0	45				
-33.75	45	90	45				
-33.75	45	-45	45				
-33.75	45	45	-45				
-33.75	45	0	67.5				
-33.75	45	90	22.5				
-33.75	45	-45	22.5				
-33.75	45	-45	-67.5				
